"V1","V2","V3","V4","V5","V6","V7","V8"
-0.115206647,-0.125001665,-0.081371405,-0.109926972,-0.113780284,-0.097314458,-0.087509273,-0.143172115
-0.146522568,-0.15222464,-0.103831528,-0.143631343,-0.149740112,-0.142025743,-0.114674441,-0.193819831
-0.123507801,-0.136254671,-0.091562525,-0.123814119,-0.128117473,-0.110436267,-0.097285348,-0.164186054
-0.125137842,-0.137819003,-0.092084841,-0.122218673,-0.129085079,-0.112559935,-0.098251782,-0.165406971
-0.13744768,-0.15494144,-0.09875788,-0.169535311,-0.151212937,-0.122586606,-0.113222,-0.151397708
-0.13557769,-0.135094998,-0.103141192,-0.170819148,-0.151707335,-0.120192817,-0.11060304,-0.153432518
-0.15642841,-0.150607377,-0.304163127,-0.19575396,-0.17591249,-0.136406176,-0.10798997,-0.286264638
-0.09087063,-0.107375877,-0.316942972,-0.202236284,-0.169808365,-0.137924227,-0.10838376,-0.284466326
-0.157552489,-0.116514081,-0.3558758,-0.220142519,-0.192558735,-0.142757235,-0.116298418,-0.328277923
-0.171841667,-0.122017307,-0.276415854,-0.249100119,-0.22007145,-0.148661686,-0.132193169,-0.348254016
-0.198294891,-0.139243513,-0.27104313,-0.267903724,-0.239224728,-0.161869709,-0.147548525,-0.403909133
-0.159166064,-0.118403586,-0.208402911,-0.213073751,-0.189631392,-0.133925571,-0.117339927,-0.308406687
-0.15823149,-0.117742843,-0.211600488,-0.211273796,-0.190397709,-0.191073745,-0.117372458,-0.310987904
-0.197573825,-0.138140379,-0.254690498,-0.263164499,-0.239346451,-0.247233944,-0.14711575,-0.404938926
-0.198977071,-0.141899265,-0.203684907,-0.253165086,-0.231598779,-0.247522006,-0.145061356,-0.373076869
-0.20378988,-0.151127862,-0.201441787,-0.249033764,-0.239805215,-0.267509204,-0.153512385,-0.401993138
-0.14834893,-0.11798144,-0.166863599,-0.152083174,-0.177160904,-0.193264928,-0.115451232,-0.285620463
-0.138573798,-0.116753606,-0.172788868,-0.149293932,-0.178380184,-0.192457665,-0.115043913,-0.248554231
-0.195134659,-0.144171463,-0.133792415,-0.177681711,-0.230072361,-0.25073575,-0.148715881,-0.354721646
-0.189121766,-0.138861497,-0.133989604,-0.174512404,-0.212675342,-0.228388867,-0.144102299,-0.345578344
-0.224444441,-0.161946236,-0.127654951,-0.195151967,-0.253685841,-0.214497814,-0.169805667,-0.426397237
-0.194763157,-0.162755699,-0.133670796,-0.199289011,-0.257393894,-0.216277133,-0.171245137,-0.431968651
-0.159948717,-0.142030545,-0.112458108,-0.170609193,-0.218500403,-0.170406162,-0.145346211,-0.356148611
-0.219271398,-0.153631787,-0.120348535,-0.177028036,-0.222174728,-0.174019158,-0.152065112,-0.380331492
-0.191301958,-0.141809062,-0.12155473,-0.165171513,-0.203603054,-0.158541583,-0.136611129,-0.343907177
-0.111420129,-0.102051532,-0.115997886,-0.158957748,-0.193538827,-0.152247377,-0.129647924,-0.335003594
-0.097495999,-0.095228715,-0.118547607,-0.149651588,-0.17616979,-0.135422048,-0.115719198,-0.29539482
-0.102800452,-0.092381801,-0.120283142,-0.150411084,-0.170483438,-0.143487776,-0.104639846,-0.260527907
-0.11110482,-0.094653655,-0.131585345,-0.16015643,-0.185607998,-0.141692447,-0.1148663,-0.295114271
-0.116991668,-0.100242252,-0.14154513,-0.172771592,-0.2070713,-0.155922897,-0.129624166,-0.344763502
-0.105418411,-0.093705062,-0.138760525,-0.160700526,-0.184754275,-0.143077288,-0.116462352,-0.290973585
-0.109976119,-0.096075675,-0.141037709,-0.165567542,-0.193846551,-0.148127604,-0.122625112,-0.31105665
-0.104314444,-0.096245768,-0.145571046,-0.168677297,-0.197844626,-0.147363567,-0.121824799,-0.311146557
-0.105969051,-0.097614804,-0.146456109,-0.177436264,-0.210974062,-0.156317536,-0.128970044,-0.330245597
-0.107104574,-0.099018975,-0.136249253,-0.168101016,-0.196644145,-0.146483696,-0.118968693,-0.288358439
-0.11265069,-0.099364816,-0.138388832,-0.177884356,-0.213589167,-0.159292077,-0.12886136,-0.296902583
-0.114784854,-0.099254117,-0.141524898,-0.173623702,-0.221398064,-0.164806139,-0.133144535,-0.299877091
-0.118368845,-0.121250463,-0.151083193,-0.239507708,-0.215254006,-0.164692573,-0.132864709,-0.30047726
-0.118116106,-0.159500625,-0.159535352,-0.288938222,-0.230470671,-0.177016638,-0.142118296,-0.326301972
-0.129300809,-0.175399498,-0.167795579,-0.31205134,-0.247940602,-0.189263037,-0.153301352,-0.357829941
-0.123259439,-0.177645199,-0.161445753,-0.285312953,-0.227139142,-0.183011088,-0.141207368,-0.324518448
-0.113153976,-0.172225896,-0.153741089,-0.259001024,-0.206673136,-0.17887845,-0.129764724,-0.276952427
-0.109892385,-0.182192408,-0.153826616,-0.246619652,-0.179271299,-0.176454603,-0.12261661,-0.262432032
-0.106574932,-0.187771746,-0.14715825,-0.224080723,-0.161283318,-0.175815093,-0.093371473,-0.217576342
-0.177881841,-0.192352712,-0.169352765,-0.250969862,-0.155862361,-0.172726347,-0.144518559,-0.262025339
-0.161717118,-0.194663884,-0.174611884,-0.299530291,-0.187721715,-0.187207583,-0.157923904,-0.314918608
-0.166897366,-0.196124581,-0.173493731,-0.280653337,-0.171787801,-0.182524489,-0.153286428,-0.292877249
-0.148216728,-0.198251177,-0.170868819,-0.272294026,-0.166465053,-0.181917561,-0.139171024,-0.285933951
-0.147357024,-0.199439523,-0.170107604,-0.281768072,-0.172083847,-0.185818943,-0.142793658,-0.297292032
-0.144793627,-0.193430061,-0.164991393,-0.265589517,-0.164178097,-0.178285839,-0.136818463,-0.280141101
-0.142529046,-0.18969922,-0.144824941,-0.256186471,-0.159110283,-0.174426228,-0.135597895,-0.268836138
-0.145912108,-0.192559536,-0.150963187,-0.261732213,-0.159415527,-0.176658354,-0.137643563,-0.274538014
-0.14442664,-0.190134513,-0.151017621,-0.252022983,-0.153366391,-0.171862563,-0.133449817,-0.260395038
-0.14871194,-0.193534664,-0.169352268,-0.257749574,-0.151945633,-0.174505662,-0.135663268,-0.260588995
-0.149799948,-0.196066208,-0.166932179,-0.227093715,-0.148171901,-0.174172347,-0.134633174,-0.256281815
-0.151045664,-0.197100417,-0.167384059,-0.234717506,-0.153798797,-0.17766795,-0.131126456,-0.266975758
-0.151690339,-0.204505398,-0.159370482,-0.218455037,-0.139631142,-0.177247581,-0.121346153,-0.252408477
-0.151972312,-0.201263448,-0.166142553,-0.207990529,-0.129983732,-0.17274293,-0.107159654,-0.237131387
-0.115022601,-0.202656379,-0.170197182,-0.200210808,-0.121998862,-0.170990499,-0.102775907,-0.203893742
-0.112252933,-0.190936889,-0.150227819,-0.184954287,-0.113799793,-0.166559257,-0.098689628,-0.18507398
